Date,NAV (CAD),Market price (CAD)
Sep 02 2022,$91.6977,$91.5750
Sep 01 2022,$92.7999,$92.7750
Aug 31 2022,$92.3495,$92.5100
Aug 30 2022,$92.8268,$92.8600
Aug 29 2022,$93.1942,$93.2900
Aug 26 2022,$94.0448,$94.1150
Aug 25 2022,$96.5454,$96.4500
Aug 24 2022,$95.4279,$95.4200
Aug 23 2022,$95.0697,$95.0950
Aug 22 2022,$95.9834,$95.9400
Aug 19 2022,$97.6628,$97.7150
Aug 18 2022,$98.5681,$98.4300
Aug 17 2022,$98.0412,$98.0000
Aug 16 2022,$98.2340,$98.3150
Aug 15 2022,$98.5513,$98.5250
Aug 12 2022,$97.0980,$97.0550
Aug 11 2022,$95.4715,$95.4300
Aug 10 2022,$95.5165,$95.4950
Aug 09 2022,$94.3519,$94.2800
Aug 08 2022,$94.5388,$94.5650
Aug 05 2022,$95.1536,$95.1250
Aug 04 2022,$94.8134,$94.7400
Aug 03 2022,$94.7628,$94.7650
Aug 02 2022,$93.5167,$93.4900
Jul 29 2022,$93.9253,$93.9150
Jul 28 2022,$92.6706,$92.6600
Jul 27 2022,$91.5214,$91.6050
Jul 26 2022,$89.6660,$89.6600
Jul 25 2022,$90.3810,$90.3750
Jul 22 2022,$90.8546,$90.7800
Jul 21 2022,$91.3847,$91.3350
Jul 20 2022,$90.5018,$90.4800
Jul 19 2022,$89.8981,$89.9050
Jul 18 2022,$88.2199,$88.2300
Jul 15 2022,$89.2511,$89.1750
Jul 14 2022,$88.1772,$88.1450
